1;79000
2;80000
3;81000
4;84000
5;83000
6;85000
7;87000
8;91000
9;86000
10;88000
11;89000
12;90000
13;92000
14;95000
15;97000
16;98000
17;82000
18;93000
19;94000
20;96000
21;81000
23;87000
24;11100
26;81000
27;71100
28;77000
30;71140
31;99000
32;01000
33;03000
34;04000
35;05000
36;07000
37;08000
38;10000
39;11000
40;12000
41;14000
42;15000
43;17000
44;18000
45;19000
46;20000
47;24000
48;25000
49;27000
50;29000
51;30000
52;32000
53;33000
54;34000
55;37000
56;38000
57;41000
58;42000
59;44000
60;46000
61;47000
62;22000
63;49000
64;50000
65;52000
66;53000
67;54000
68;56000
69;57000
70;58000
71;60000
72;61000
73;63000
74;64000
75;65000
76;66000
77;36000
78;28000
79;68000
80;69000
81;70000
82;71000
83;73000
84;75000
85;76000
86;78000
87;45000
88;40000
89;26000
90;55000
91;35000
92;67000
